,posicion,area,a.liq.,grupo_de_personal,codigo_postal,motivo_de_la_renuncia,banda,baja,reglapht,alta,anos,meses,antiguedad,clave_de_sexo,lugar_de_nacimiento,edad_del_empleado,estado_civil,hijos,cluster
0,POS514,LOG,S6,Exempt,32520,vol-otro empleo,E3,2023-02-01,ADMINIST,2018-06-21,5,55.2,1656,femenino,JUAREZ,31,solter,0,3
1,POS1745,MFS,S5,Direct,32217,vol-otro empleo,DNO,2023-03-01,ADMINIST,2017-07-20,6,66.43333333,1993,masculino,DURANGO,25,solter,0,2
2,POS1230,VS7,S5,Direct,32600,vol-otro empleo,DNO,2023-03-01,JT012324,2019-08-29,4,40.76666667,1223,masculino,JUAREZ,23,solter,0,2
3,POS1661,MFS,S5,Direct,32575,vol-estudios,DO,2023-03-01,JT012324,2022-03-11,1,2.033333333,61,femenino,JUAREZ,18,solter,0,1
4,POS1921,MFS,S5,Direct,32575,vol-cambio de domicilio,DO,2023-03-01,JT012324,2017-02-03,6,71.1,2133,masculino,JUAREZ,26,solter,0,0
5,POS2803,VS1,S5,Direct,32600,vol-otro empleo,DNO,2023-03-01,JF050600,2018-06-09,5,52.66666667,1580,masculino,JUANACATLAN,38,casad,3,2
6,POS538,VS9-ABS,S5,Direct,32575,vol-estudios,DO,2023-03-01,JF060600,2020-09-01,3,36.33333333,1090,femenino,JUAREZ,21,solter,0,1
7,POS1380,MFS,S5,Direct,32575,vol-otro empleo,DO,2023-03-01,JF060600,2020-12-17,3,24.9,747,femenino,JUAREZ,27,solter,1,1
8,POS2094,TEF,S5,Direct,32674,vol-otro empleo,DNO,2023-03-01,ADMINIST,2020-05-03,3,34.46666667,1034,masculino,CHIHUAHUA,25,solter,0,2
9,POS1921,MFS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-03-01,JS011500,2020-01-16,3,36.1,1083,femenino,JUAREZ,32,solter,0,1
10,POS1661,MFS,S5,Direct,32575,vol-estudios,DO,2023-03-01,JS011500,2022-11-10,1,2.8,84,femenino,CHIHUAHUA,18,solter,0,1
11,POS2003,VS4,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-03-01,JS011500,2016-02-03,7,83.26666667,2498,femenino,SANTA BARBARA,41,u.libr,2,1
12,POS347,LOG,S5,Direct,32575,vol-no regreso / no dio razon,DNO,2023-03-01,JF010600,2022-08-12,1,0.8666666667,26,masculino,DURANGO,40,u.libr,2,2
13,POS1230,VS1,S5,Direct,32690,vol-otro empleo,DNO,2023-03-01,JF010600,2018-08-30,5,52.9,1587,masculino,JUAREZ,25,solter,0,2
14,POS1376,VS9-ABS,S5,Direct,32576,vol-insatisfaccion personal,DNO,2023-03-01,JF010600,2019-01-24,4,48.0,1440,femenino,JUAREZ,27,solter,0,2
15,POS1323,VS7,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-04-01,JF010600,2022-11-08,1,4.866666667,146,femenino,JUAREZ,33,solter,2,1
16,POS1323,VS5,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-04-01,JT012324,2019-05-09,4,40.56666667,1217,femenino,JUAREZ,23,solter,1,1
17,POS1323,VS7,S5,Direct,32540,vol-no regreso / no dio razon,DO,2023-04-01,JT012324,2020-08-10,3,27.26666667,818,femenino,JUAREZ,20,solter,1,1
18,POS2939,VS1-HOUS,S5,Direct,32584,vol-no regreso / no dio razon,DO,2023-04-01,JT012324,2022-10-20,1,2.533333333,76,masculino,JUAREZ,31,u.libr,0,0
19,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-04-01,JT012324,2022-11-17,1,1.6,48,femenino,JUAREZ,18,solter,0,1
20,POS1323,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-04-01,JS011500,2022-08-09,1,3.933333333,118,masculino,TUXTLA GUTIERREZ,21,solter,0,0
21,POS1323,VS1,S5,Direct,32599,vol-transferencia entre planta,DO,2023-05-01,JF010600,2018-06-09,5,52.73333333,1582,femenino,GUERRERO,23,solter,0,1
22,POS347,LOG,S5,Direct,32575,vol-transferencia entre planta,DNO,2023-06-01,JT012324,2022-12-15,1,0.7333333333,22,masculino,OAXACA,24,solter,0,2
23,POS581,LOG,S6,Exempt,32433,vol-otro empleo,E3,2023-06-01,JF010600,2021-05-27,2,19.63333333,589,masculino,CHIHUAHUA,30,solter,0,3
24,POS2803,VS5,S5,Direct,32600,imp.tra-lft y/o reglamento,DNO,2023-07-01,JF050600,2017-07-13,6,66.8,2004,masculino,TORREON,45,casad,2,2
25,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-09-01,JS011500,2022-08-12,1,1.066666667,32,masculino,JUAREZ,18,solter,0,0
26,POS538,VS4,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-09-01,JT031800,2022-06-10,1,3.166666667,95,masculino,COATZACOALCOS,30,solter,0,0
27,POS1380,MFS,S5,Direct,32599,vol-otro empleo,DO,2023-10-01,JT031800,2019-03-28,4,46.13333333,1384,femenino,JUAREZ,22,solter,0,1
28,POS1230,VS7,S5,Direct,32575,vol-otro empleo,DNO,2023-10-01,JF010600,2019-12-09,4,40.53333333,1216,masculino,JUAREZ,24,solter,0,2
29,POS1380,MFS,S5,Direct,32696,vol-otro empleo,DO,2023-10-01,JT031800,2021-04-02,2,23.5,705,femenino,TEMIXO,23,u.libr,1,1
30,POS1921,MFS,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-10-01,JF010600,2021-04-02,2,23.5,705,femenino,VERACRUZ,23,solter,0,1
31,POS538,VS7,S5,Direct,32575,vol-cambio de domicilio,DO,2023-10-01,JT031800,2022-11-08,1,5.066666667,152,masculino,DURANGO,20,solter,0,0
32,POS1323,VS5,S5,Direct,32599,vol-insatisfaccion personal,DO,2023-10-01,JS011500,2022-09-14,1,3.933333333,118,femenino,DURANGO,48,casad,3,1
33,POS1323,VS9-ABS,S5,Direct,32570,vol-prob personales y/o fam,DO,2023-10-01,JF010600,2022-03-10,1,3.3,99,masculino,JUAREZ,45,u.libr,2,0
34,POS1921,MFS,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-10-01,JF010600,2022-03-10,1,3.3,99,femenino,CHIHUAHUA,33,u.libr,0,1
35,POS2939,VS9-ABS,S5,Direct,32598,vol-no regreso / no dio razon,DO,2023-10-01,JF010600,2022-01-12,1,1.333333333,40,masculino,VERACRUZ,22,solter,0,0
36,POS347,LOG,S5,Direct,32696,imp.tra-ausentismos continuos,DNO,2023-10-01,JS011500,2022-12-15,1,0.8666666667,26,masculino,CHIHUAHUA,31,solter,1,2
37,POS2384,QMM,S5,Direct,32217,vol-otro empleo,DNO,2023-10-01,JF010600,2005-02-11,18,209.2666667,6278,masculino,SAN RAFAEL DE ARRIBA,45,casad,4,2
38,POS2553,QMM,S5,Direct,32150,vol-prob personales y/o fam,DNO,2023-10-01,JT012324,2013-07-15,10,115.5333333,3466,femenino,SAN PEDRO VALPARAISO,39,casad,3,2
39,POS2802,TEF,S5,Direct,32599,vol-prob personales y/o fam,DNO,2023-10-01,JF010600,2015-04-13,8,94.3,2829,femenino,GOMEZ PALACIO,27,u.libr,0,2
40,POS538,VS9-ABS,S5,Direct,32540,vol-insatisfaccion personal,DO,2023-10-01,JF060600,2016-02-11,7,75.33333333,2260,femenino,POBLADO EL LUCERO,36,u.libr,2,1
41,POS1661,MFS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-11-01,JT012324,2022-08-12,1,1.133333333,34,femenino,CAMARGO,36,casad,3,1
42,POS1230,VS9-ABS,S5,Direct,32665,vol-transferencia entre planta,DNO,2023-01-13,JF010600,2018-08-11,5,50.9,1527,masculino,JUAREZ,24,u.libr,0,2
43,POS2076,HRL,S6,Exempt,32695,imp.pat-pensionado imss,E3,2023-01-13,ADMINIST,2006-01-23,17,206.6333333,6199,femenino,NUEVO CASAS GRANDES,42,solter,1,3
44,POS1921,MFS,S5,Direct,32575,vol-transferencia entre planta,DO,2023-01-13,JS011500,2022-07-28,1,5.633333333,169,femenino,JUAREZ,24,solter,0,1
45,POS2046,VS4,S6,Exempt,32410,vol-transferencia entre planta,E4,2023-01-13,ADMINIST,2006-05-15,17,202.9,6087,femenino,CUAUHTEMOC,42,solter,2,3
46,POS2856,VS5,S6,Exempt,32587,vol-otro empleo,E3,2023-01-13,ADMINIST,2014-04-23,9,106.2333333,3187,masculino,JUAREZ,28,solter,0,3
47,POS2939,VS1-HOUS,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-01-16,JF010600,2022-01-12,1,1.533333333,46,femenino,GUERRERO,24,solter,1,1
48,POS347,LOG,S5,Direct,32697,vol-no regreso / no dio razon,DNO,2023-01-16,JS011500,2022-12-22,1,0.8333333333,25,masculino,JIQUIPILAS,20,u.libr,0,2
49,POS347,LOG,S5,Direct,32575,vol-no regreso / no dio razon,DNO,2023-01-16,JT021800,2022-01-12,1,1.533333333,46,masculino,JUAREZ,28,divorciado,1,2
50,POS538,VS5,S5,Direct,32575,vol-otro empleo,DO,2023-01-17,JF060600,2020-08-10,3,27.7,831,femenino,JUAREZ,20,solter,0,1
51,POS538,VS7,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-17,JT031800,2020-11-26,3,26.06666667,782,masculino,CHIHUAHUA,45,u.libr,1,0
52,POS538,VS9-ABS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-17,JT031800,2022-08-25,1,4.833333333,145,femenino,OAXACA,38,casad,3,1
53,POS1323,VS9-ABS,S5,Direct,32599,vol-cambio de domicilio,DO,2023-01-17,JF010600,2022-08-09,1,4.366666667,131,masculino,TABASCO,39,u.libr,3,0
54,POS538,VS9-ABS,S5,Direct,32575,vol-estudios,DO,2023-01-17,JF060600,2022-11-17,1,2.033333333,61,femenino,JUAREZ,20,solter,0,1
55,POS2803,VS7,S5,Direct,32576,vol-otro empleo,DNO,2023-01-17,JF010600,2017-08-06,6,68.3,2049,masculino,JUAREZ,47,casad,2,2
56,POS2803,VS7,S5,Direct,32594,vol-prob personales y/o fam,DNO,2023-01-17,JS011500,2016-06-04,7,82.56666667,2477,masculino,VERACRUZ,65,casad,4,2
57,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-18,JT012324,2022-03-11,1,2.533333333,76,femenino,SAN DIMAS,37,u.libr,2,1
58,POS1380,MFS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-19,JT031800,2020-02-20,3,35.46666667,1064,femenino,COSAMALOAPAN,28,casad,0,1
59,POS1921,MFS,S5,Direct,32575,vol-transferencia entre planta,DO,2023-01-20,JS011500,2013-04-12,10,111.1333333,3334,femenino,VERACRUZ,39,u.libr,2,1
