posición,area,á.liq.,grupo_de_personal,codigo_postal,motivo_de_la_renuncia,banda,baja,reglapht,alta,años,meses,antigüedad,clave_de_sexo,lugar_de_nacimiento,nacionalidad,edad_del_empleado,estado_civil,hijos
POS514,LOG,S6,Exempt,32520,Vol-Otro empleo,E3,2023-02-01,ADMINIST,2018-06-21,5,55.2,1656,femenino,JUAREZ,Mexican,31,solter,0
POS1745,MFS,S5,Direct,32217,Vol-Otro empleo,DNO,2023-03-01,ADMINIST,2017-07-20,6,66.43333333,1993,masculino,DURANGO,Mexican,25,solter,0
POS1230,VS7,S5,Direct,32600,Vol-Otro empleo,DNO,2023-03-01,JT012324,2019-08-29,4,40.76666667,1223,masculino,JUAREZ,Mexican,23,solter,0
POS1661,MFS,S5,Direct,32575,Vol-Estudios,DO,2023-03-01,JT012324,2022-03-11,1,2.033333333,61,femenino,JUAREZ,Mexican,18,solter,0
POS1921,MFS,S5,Direct,32575,Vol-Cambio de domicilio,DO,2023-03-01,JT012324,2017-02-03,6,71.1,2133,masculino,JUAREZ,Mexican,26,solter,0
POS2803,VS1,S5,Direct,32600,Vol-Otro empleo,DNO,2023-03-01,JF050600,2018-06-09,5,52.66666667,1580,masculino,JUANACATLAN,Mexican,38,casad.,3
POS538,VS9-ABS,S5,Direct,32575,Vol-Estudios,DO,2023-03-01,JF060600,2020-09-01,3,36.33333333,1090,femenino,JUAREZ,Mexican,21,solter,0
POS1380,MFS,S5,Direct,32575,Vol-Otro empleo,DO,2023-03-01,JF060600,2020-12-17,3,24.9,747,femenino,JUAREZ,Mexican,27,solter,1
POS2094,TEF,S5,Direct,32674,Vol-Otro empleo,DNO,2023-03-01,ADMINIST,2020-05-03,3,34.46666667,1034,masculino,CHIHUAHUA,Mexican,25,solter,0
POS1921,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-03-01,JS011500,2020-01-16,3,36.1,1083,femenino,JUAREZ,Mexican,32,solter,0
POS1661,MFS,S5,Direct,32575,Vol-Estudios,DO,2023-03-01,JS011500,2022-11-10,1,2.8,84,femenino,CHIHUAHUA,Mexican,18,solter,0
POS2003,VS4,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-03-01,JS011500,2016-02-03,7,83.26666667,2498,femenino,SANTA BARBARA,Mexican,41,U.Libr,2
POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,DNO,2023-03-01,JF010600,2022-08-12,1,0.8666666667,26,masculino,DURANGO,Mexican,40,U.Libr,2
POS1230,VS1,S5,Direct,32690,Vol-Otro empleo,DNO,2023-03-01,JF010600,2018-08-30,5,52.9,1587,masculino,JUAREZ,Mexican,25,solter,0
POS1376,VS9-ABS,S5,Direct,32576,Vol-Insatisfacción personal,DNO,2023-03-01,JF010600,2019-01-24,4,48,1440,femenino,JUAREZ,Mexican,27,solter,0
POS1323,VS7,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-04-01,JF010600,2022-11-08,1,4.866666667,146,femenino,JUAREZ,Mexican,33,solter,2
POS1323,VS5,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-04-01,JT012324,2019-05-09,4,40.56666667,1217,femenino,JUAREZ,Mexican,23,solter,1
POS1323,VS7,S5,Direct,32540,Vol-No regreso / no dio razón,DO,2023-04-01,JT012324,2020-08-10,3,27.26666667,818,femenino,JUAREZ,Mexican,20,solter,1
POS2939,VS1-HOUS,S5,Direct,32584,Vol-No regreso / no dio razón,DO,2023-04-01,JT012324,2022-10-20,1,2.533333333,76,masculino,JUAREZ,Mexican,31,U.Libr,0
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-04-01,JT012324,2022-11-17,1,1.6,48,femenino,JUAREZ,Mexican,18,solter,0
POS1323,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-04-01,JS011500,2022-08-09,1,3.933333333,118,masculino,TUXTLA GUTIERREZ,Mexican,21,solter,0
POS1323,VS1,S5,Direct,32599,Vol-Transferencia entre planta,DO,2023-05-01,JF010600,2018-06-09,5,52.73333333,1582,femenino,GUERRERO,Mexican,23,solter,0
POS347,LOG,S5,Direct,32575,Vol-Transferencia entre planta,DNO,2023-06-01,JT012324,2022-12-15,1,0.7333333333,22,masculino,OAXACA,Mexican,24,solter,0
